date,server_id,avg_cpu,avg_memory,total_power,total_cost,high_util_days
2025-01-01,server_1,48.21635456632661,53.194119080026624,692.3725416280773,174.11322590030693,4
2025-01-01,server_10,53.25675913946052,56.41678740417453,698.0388695224227,180.726976057473,3
2025-01-01,server_2,50.16685853770619,55.93432568580341,786.3930018151492,195.9210298641943,6
2025-01-01,server_3,56.22652387297515,52.3808747459093,421.8179392169945,95.52476821191169,5
2025-01-01,server_4,51.877468427917066,51.21175345279467,354.0720336402403,93.05611111848802,2
2025-01-01,server_5,53.76028364810457,53.03038274968636,536.4689321830673,129.07901832668145,3
2025-01-01,server_6,52.06642756796109,56.77611489389916,723.4155879699374,174.48478816364252,6
2025-01-01,server_7,55.02899927763521,56.734919298652834,327.3742395124642,81.30755761433407,1
2025-01-01,server_8,51.50129686563316,51.57864127274342,639.0507987777729,165.06678378838987,6
2025-01-01,server_9,49.62499984614418,65.41860939633393,848.590460550935,207.00948625306157,4
2025-01-02,server_1,44.24832358086802,59.197487797395716,656.1878542461834,157.23806807088874,3
2025-01-02,server_10,53.239458631751816,53.87097612600954,479.1192342356145,122.01666101802667,2
2025-01-02,server_2,44.974250861430875,59.26541685247892,455.7741018356581,114.1852251567336,2
2025-01-02,server_3,57.02525483386638,63.095583165683365,573.0786169094998,138.6437091685397,4
2025-01-02,server_4,55.018114242016,58.32107298375207,551.6407233078729,134.87879103692296,2
2025-01-02,server_5,47.15579577907302,58.882188685782,523.1974634172833,126.88267493117092,2
2025-01-02,server_6,49.79216503490629,45.192467960603565,538.6319561560422,137.70387219176405,1
2025-01-02,server_7,44.807263349976985,53.80809861735854,507.0355610300902,130.14751245590983,2
2025-01-02,server_8,38.052736281062494,49.12844652751102,467.2517428807951,123.0860667757808,3
2025-01-02,server_9,44.75042672581731,54.62776667610437,508.2445717374649,129.28858599010664,1
2025-01-03,server_1,53.183506139446585,49.89853990596273,541.0164034648051,137.88408143804966,5
2025-01-03,server_10,49.44479613401511,57.14505553820197,627.6239375376383,154.32971869361452,4
2025-01-03,server_2,38.54274726024453,60.29070224494911,366.1945377566959,97.5058140389782,2
2025-01-03,server_3,51.30268034320356,58.24394202370062,772.667790451155,183.62039367075522,2
2025-01-03,server_4,47.02511556791914,61.07870095303994,610.1852770494822,151.14066520792142,3
2025-01-03,server_5,52.77354935240003,54.038652097796856,929.4721529224128,228.09358377328064,5
2025-01-03,server_6,48.71834109705393,64.1530651453941,619.0279399902877,158.52621237478647,4
2025-01-03,server_7,50.07006031482596,58.068928042372974,618.7951353891694,145.80154958427144,3
2025-01-03,server_8,50.22368414232727,57.742591282472354,672.5463428442786,176.19874954851616,6
2025-01-03,server_9,49.98969914995189,48.44107542003266,296.6886068406661,75.83984499278849,2
